"","sb_winner_ay_over_yac","avg_nfl_ay_over_yac","year"
"1",1.47195441689548,1.44475294836769,"2022"
"2",1.08796924468566,1.43830245715116,"2013"
"3",1.79933699368072,1.42482206567116,"2014"
"4",1.90419773368718,1.3492212807574,"2015"
"5",1.12664277180406,1.5575408110367,"2016"
"6",1.66481481481481,1.48336039971303,"2017"
"7",1.75584339696143,1.50213074837658,"2018"
"8",1.55648359361291,1.50784833459038,"2019"
"9",2.08418657565415,1.47700033624876,"2020"
"10",1.53161201292806,1.35662722194849,"2021"
